Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
31 Portsmouth St APT 3R, 31 Portsmouth St APT 3R, 02141, Cambridge, MA, 42.36847, -71.09382, 3300, FOR_RENT, APARTMENT, 2111635067, undefined, 2, 1, Apt 3r, 7, 5, 3656324000, true, false, -1, false
140-150 5th St #5R, 140-150 5th St #5R, 02141, Cambridge, MA, 42.37248, -71.082886, 2700, FOR_RENT, APARTMENT, 344675869, 500, 0, 1, # 5R, 7, 5, 19083941000, true, false, -1, false
88 Hampshire St #2, 88 Hampshire St #2, 02139, Cambridge, MA, 42.368484, -71.09462, 3300, FOR_RENT, APARTMENT, 2107580839, undefined, 3, 1, # 2, 9, 10, 6952915000, true, false, -1, false
218 Banks St #7, 218 Banks St #7, 02138, Cambridge, MA, 42.365738, -71.1147, 2300, FOR_RENT, APARTMENT, 2126748175, undefined, 0, 1, # 7, 3, 7, 2993918000, true, false, -1, false
14 Linnaean St, 14 Linnaean St, 02138, Cambridge, MA, 42.384323, -71.12137, 8000, FOR_RENT, SINGLE_FAMILY, 56435102, 2796, 4, 4, , 5, 2, 7717616000, true, false, -1, false
213 Norfolk St #8, 213 Norfolk St #8, 02139, Cambridge, MA, 42.369434, -71.09861, 9300, FOR_RENT, SINGLE_FAMILY, 346976091, 3000, 7, 3, # 8, 8, 5, 17416651000, true, false, -1, false
71 Fulkerson St APT 109, 71 Fulkerson St APT 109, 02141, Cambridge, MA, 42.369926, -71.08785, 3895, FOR_RENT, APARTMENT, 2116198619, 913, 2, 2, Apt 109, 5, 4, 10497415000, true, false, -1, false
7 Kinnaird St #2-3, 7 Kinnaird St #2-3, 02139, Cambridge, MA, 42.36428, -71.10907, 5350, FOR_RENT, APARTMENT, 2052953051, undefined, 4, 1, # 2-3, 10, 4, 22516075000, true, false, -1, false
322.5 Western Ave #1F, 322.5 Western Ave #1F, 02139, Cambridge, MA, 42.36464, -71.11194, 4250, FOR_RENT, APARTMENT, 339902888, 900, 3, 2, # 1F, 3, 8, 21694389000, true, false, -1, false
220 Prospect St #3R, 220 Prospect St #3R, 02139, Cambridge, MA, 42.370747, -71.09986, 4700, FOR_RENT, APARTMENT, 2057083689, 999, 4, 1, # 3R, 3, 7, 23005875000, true, false, -1, false
76 Garfield St APT 7, 76 Garfield St APT 7, 02138, Cambridge, MA, 42.383434, -71.11654, 3600, FOR_RENT, APARTMENT, 56434018, 1025, 2, 2, Apt 7, 1, 1, 1147121000, true, false, -1, false
