Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
48 Coffey St APT 10D, 48 Coffey St APT 10D, 02122, Boston, MA, 42.289284, -71.04893, 469000, FOR_SALE, CONDO, 81854502, 914, 2, 1, Apt 10D, 4, 5, 2141620000, true, false, -1, false
54 Birchwood St, 54 Birchwood St, 02132, West Roxbury, MA, 42.258198, -71.15714, 1099900, FOR_SALE, SINGLE_FAMILY, 59160864, 2946, 3, 3, , 10, 2, 932020000, true, false, -1, false
226 Beacon St, 226 Beacon St, 02116, Boston, MA, 42.35382, -71.078705, 9850000, FOR_SALE, SINGLE_FAMILY, 2095523071, 7653, 5, 8, , 3, 6, 23482420000, true, false, -1, false
90 South St APT 3, 90 South St APT 3, 02111, Boston, MA, 42.35127, -71.057175, 1224900, FOR_SALE, CONDO, 59181877, 1800, 2, 2, Apt 3, 1, 1, 3351220000, true, false, -1, false
443 Poplar St, 443 Poplar St, 02131, Roslindale, MA, 42.2753, -71.127174, 1025000, FOR_SALE, SINGLE_FAMILY, 59145461, 1978, 4, 3, , 10, 8, 3869620000, true, false, -1, false
85 Willow Ct UNIT 201, 85 Willow Ct UNIT 201, 02125, Boston, MA, 42.324844, -71.064156, 799000, FOR_SALE, CONDO, 333606436, 1385, 3, 2, Unit 201, 7, 7, 413620000, true, false, -1, false
59 Chestnut St, 59 Chestnut St, 02108, Boston, MA, 42.35719, -71.06963, 9950000, FOR_SALE, SINGLE_FAMILY, 59174777, 6442, 6, 7, , 8, 1, 19940020000, true, false, -1, false
22 Gaylord St #1, 22 Gaylord St #1, 02124, Dorchester Center, MA, 42.298237, -71.07401, 719900, FOR_SALE, CONDO, 441812746, 1505, 3, 3, # 1, 8, 7, 500020000, true, false, -1, false
21 Alveston Ter, 21 Alveston Ter, 02130, Jamaica Plain, MA, 42.31052, -71.11252, 3798500, FOR_SALE, SINGLE_FAMILY, 350100647, 4434, 5, 6, , 2, 6, 5338420000, true, false, -1, false
2400 Beacon St UNIT 211, 2400 Beacon St UNIT 211, 02467, Chestnut Hill, MA, 42.333652, -71.153114, 1125000, FOR_SALE, CONDO, 81853839, 1170, 2, 2, Unit 211, 6, 6, 413620000, true, false, -1, false
