Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
12-2 Dean Rd #O2, 12-2 Dean Rd #O2, 02445, Brookline, MA, 42.3336, -71.14585, 6000, FOR_RENT, APARTMENT, 402574247, 2400, 4, 3, # O2, 7, 5, 7370624000, true, false, -1, false
322 Saint Paul St #3E, 322 Saint Paul St #3E, 02446, Brookline, MA, 42.34894, -71.116554, 9000, FOR_RENT, APARTMENT, 441741593, 2000, 6, 2, # 3E, 2, 10, 829087000, true, false, -1, false
13 Stearns Rd #7, 13 Stearns Rd #7, 02446, Brookline, MA, 42.340347, -71.11979, 4500, FOR_RENT, APARTMENT, 353757211, 1300, 3, 1, # 7, 1, 9, 9616762000, true, false, -1, false
41 Park St #41, 41 Park St #41, 02446, Brookline, MA, 42.337646, -71.12456, 4500, FOR_RENT, APARTMENT, 2079713305, 1300, 2, 2, # 41, 8, 7, 13157880000, true, false, -1, false
113 Westbourne Ter #3, 113 Westbourne Ter #3, 02446, Brookline, MA, 42.34262, -71.138, 4000, FOR_RENT, APARTMENT, 2084870536, 1800, 4, 1, # 3, 8, 1, 14363576000, true, false, -1, false
1846 Beacon St #2, 1846 Beacon St #2, 02445, Brookline, MA, 42.33718, -71.14547, 4700, FOR_RENT, APARTMENT, 415767355, 9999, 3, 2, # 2, 5, 7, 6509218000, true, false, -1, false
1891 Beacon St APT 1, 1891 Beacon St APT 1, 02445, Brookline, MA, 42.336308, -71.14735, 4200, FOR_RENT, APARTMENT, 56569453, 1500, 3, 2, Apt 1, 10, 2, 3625179000, true, false, -1, false
9 Rice St #4A, 9 Rice St #4A, 02445, Brookline, MA, 42.32721, -71.12355, 2800, FOR_RENT, APARTMENT, 440214534, 800, 2, 1, # 4A, 8, 2, 3404214000, true, false, -1, false
23 Netherlands Rd #1, 23 Netherlands Rd #1, 02445, Brookline, MA, 42.33599, -71.11199, 4725, FOR_RENT, APARTMENT, 66816910, 1400, 3, 1, # 1, 5, 9, 2704022000, true, false, -1, false
26 Sheafe St UNIT 2, 26 Sheafe St UNIT 2, 02467, Chestnut Hill, MA, 42.322445, -71.16462, 4800, FOR_RENT, APARTMENT, 2078011268, 1640, 3, 2, Unit 2, 9, 8, 2022948000, true, false, -1, false
33 Oakland Rd #3, 33 Oakland Rd #3, 02445, Brookline, MA, 42.32796, -71.12377, 2700, FOR_RENT, APARTMENT, 433575988, 700, 1, 1, # 3, 6, 6, 5902560000, true, false, -1, false
53 University Rd #1A, 53 University Rd #1A, 02445, Brookline, MA, 42.33786, -71.13399, 3800, FOR_RENT, APARTMENT, 439871679, 1500, 2, 2, # 1A, 3, 10, 4274722000, true, false, -1, false
19 Williams St, 19 Williams St, 02446, Brookline, MA, 42.34395, -71.12609, 4750, FOR_RENT, TOWNHOUSE, 56562905, 1456, 3, 3, , 7, 2, 54838000, true, false, -1, false
313 Tappan St APT 2, 313 Tappan St APT 2, 02445, Brookline, MA, 42.33648, -71.13755, 4300, FOR_RENT, APARTMENT, 56568491, 1243, 3, 2, Apt 2, 9, 9, 11995292000, true, false, -1, false
87 Sherman Rd, 87 Sherman Rd, 02467, Chestnut Hill, MA, 42.29975, -71.15807, 3630, FOR_RENT, TOWNHOUSE, 2116043216, 911, 2, 2, , 5, 6, 141197000, true, false, -1, false
45 Mason Ter APT 3, 45 Mason Ter APT 3, 02446, Brookline, MA, 42.34067, -71.131355, 3850, FOR_RENT, APARTMENT, 56563619, 1314, 2, 1, Apt 3, 1, 4, 227394000, true, false, -1, false
1687 Beacon St #2B, 1687 Beacon St #2B, 02445, Brookline, MA, 42.338753, -71.13822, 4000, FOR_RENT, APARTMENT, 441884668, undefined, 3, 2, # 2B, 1, 6, 146335000, true, false, -1, false
6 Sewall Ave #A, 6 Sewall Ave #A, 02446, Brookline, MA, 42.340553, -71.12056, 3750, FOR_RENT, APARTMENT, 441862998, undefined, 3, 2, # A, 8, 8, 220538000, true, false, -1, false
83 Gibbs St #1A, 83 Gibbs St #1A, 02446, Brookline, MA, 42.348957, -71.12577, 10000, FOR_RENT, APARTMENT, 2081226449, undefined, 6, 3, # 1A, 1, 7, 221355000, true, false, -1, false
50 Park St APT 12, 50 Park St APT 12, 02446, Brookline, MA, 42.33803, -71.125206, 3750, FOR_RENT, APARTMENT, 56568000, 1186, 2, 2, Apt 12, 5, 3, 286689000, true, false, -1, false
389 Harvard St APT 4, 389 Harvard St APT 4, 02446, Brookline, MA, 42.345066, -71.12598, 1950, FOR_RENT, APARTMENT, 2071653734, 400, 0, 1, Apt 4, 8, 4, 401053000, true, false, -1, false
48 Saint Marys St #2B, 48 Saint Marys St #2B, 02446, Brookline, MA, 42.34808, -71.106995, 6500, FOR_RENT, APARTMENT, 441840298, undefined, 5, 2, # 2B, 9, 8, 332379000, true, false, -1, false
35 Sheafe St #2, 35 Sheafe St #2, 02467, Chestnut Hill, MA, 42.322582, -71.16512, 3000, FOR_RENT, APARTMENT, 2079507835, 1050, 2, 1, # 2, 5, 8, 357367000, true, false, -1, false
7-10 Harvard Sq #3F, 7-10 Harvard Sq #3F, 02445, Brookline, MA, 42.332973, -71.11872, 4500, FOR_RENT, APARTMENT, 441801492, 675, 2, 1, # 3F, 6, 2, 459161000, true, false, -1, false
301 Tappan St #3, 301 Tappan St #3, 02445, Brookline, MA, 42.335796, -71.137505, 4500, FOR_RENT, APARTMENT, 2083635179, 1400, 4, 2, # 3, 4, 1, 367424000, true, false, -1, false
7-8 High Street Pl #1F, 7-8 High Street Pl #1F, 02445, Brookline, MA, 42.326015, -71.12089, 3000, FOR_RENT, APARTMENT, 441797801, 1000, 2, 1, # 1F, 5, 4, 474730000, true, false, -1, false
331 Cypress St #2, 331 Cypress St #2, 02445, Brookline, MA, 42.32453, -71.121635, 3795, FOR_RENT, APARTMENT, 2106450005, 1350, 3, 2, # 2, 2, 6, 360702000, true, false, -1, false
387 Harvard St #4, 387 Harvard St #4, 02446, Brookline, MA, 42.345, -71.12593, 1950, FOR_RENT, APARTMENT, 441818997, 400, 0, 1, # 4, 3, 4, 401017000, true, false, -1, false
27 Eliot St #SF, 27 Eliot St #SF, 02467, Chestnut Hill, MA, 42.327045, -71.14457, 7000, FOR_RENT, APARTMENT, 441759968, 2430, 4, 2, # SF, 6, 10, 746650000, true, false, -1, false
16 Davis Ave APT 8, 16 Davis Ave APT 8, 02445, Brookline, MA, 42.332462, -71.11939, 2500, FOR_RENT, APARTMENT, 2105652825, 907, 1, 1, Apt 8, 2, 9, 2428665000, true, false, -1, false
1589 Beacon St APT 6, 1589 Beacon St APT 6, 02446, Brookline, MA, 42.339237, -71.133446, 2600, FOR_RENT, APARTMENT, 2127502420, 600, 1, 1, Apt 6, 3, 3, 804656000, true, false, -1, false
15 Stearns Rd APT 3E, 15 Stearns Rd APT 3E, 02446, Brookline, MA, 42.34008, -71.1199, 4500, FOR_RENT, APARTMENT, 2057188526, 1200, 3, 1, Apt 3E, 8, 10, 829164000, true, false, -1, false
158 Cypress St #1DW, 158 Cypress St #1DW, 02445, Brookline, MA, 42.329197, -71.12581, 6800, FOR_RENT, APARTMENT, 441712827, undefined, 6, 3, # 1DW, 10, 5, 919300000, true, false, -1, false
65 Park St APT 4, 65 Park St APT 4, 02446, Brookline, MA, 42.338696, -71.12408, 3800, FOR_RENT, APARTMENT, 56566664, 1100, 2, 2, Apt 4, 10, 5, 804077000, true, false, -1, false
15 Francis St APT 12, 15 Francis St APT 12, 02446, Brookline, MA, 42.33892, -71.113335, 2200, FOR_RENT, APARTMENT, 56564946, 460, 0, 1, Apt 12, 6, 4, 11183330000, true, false, -1, false
96 Marion Ter #33, 96 Marion Ter #33, 02446, Brookline, MA, 42.339676, -71.12335, 2500, FOR_RENT, APARTMENT, 441623026, undefined, 1, 1, # 33, 5, 5, 1092210000, true, false, -1, false
95 Westbourne Ter #1, 95 Westbourne Ter #1, 02446, Brookline, MA, 42.342327, -71.13715, 4300, FOR_RENT, APARTMENT, 2077213994, 1500, 3, 2, # 1, 2, 8, 11181505000, true, false, -1, false
