Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
8 Donnybrook Rd #2, 8 Donnybrook Rd #2, 02135, Brighton, MA, 42.35405, -71.15886, 4400, FOR_RENT, APARTMENT, 2058927214, 9999, 4, 2, # 2, 2, 10, 15905426000, true, false, -1, false
35 Bentley St #2, 35 Bentley St #2, 02135, Boston, MA, 42.350857, -71.15144, 9999, FOR_RENT, APARTMENT, 2095081294, 9999, 5, 2, # 2, 4, 7, 20474268000, true, false, -1, false
49 Orkney Rd #3, 49 Orkney Rd #3, 02135, Brighton, MA, 42.337017, -71.149345, 4400, FOR_RENT, APARTMENT, 2083055250, 9999, 4, 2, # 3, 8, 9, 20915865000, true, false, -1, false
66 Perthshire Rd #2, 66 Perthshire Rd #2, 02135, Brighton, MA, 42.353596, -71.16843, 4500, FOR_RENT, APARTMENT, 2106225106, 2200, 4, 2, # 2, 9, 4, 187543000, true, false, -1, false
21 Morrow Rd FLOOR 2, 21 Morrow Rd FLOOR 2, 02135, Brighton, MA, 42.35349, -71.1495, 3200, FOR_RENT, APARTMENT, 2057772589, 9999, 3, 1, Floor 2, 2, 10, 13743204000, true, false, -1, false
19 Litchfield St APT 3, 19 Litchfield St APT 3, 02135, Brighton, MA, 42.35865, -71.14125, 3400, FOR_RENT, APARTMENT, 2058884681, 9999, 3, 1, Apt 3, 7, 2, 15637086000, true, false, -1, false
16 Leicester St FLOOR 2, 16 Leicester St FLOOR 2, 02135, Brighton, MA, 42.349823, -71.15481, 3300, FOR_RENT, APARTMENT, 2058090708, 9999, 3, 1, Floor 2, 1, 2, 15644212000, true, false, -1, false
72 Brooks St #2, 72 Brooks St #2, 02135, Brighton, MA, 42.35512, -71.16243, 3200, FOR_RENT, APARTMENT, 2101963134, 9999, 3, 1, # 2, 9, 10, 17450420000, true, false, -1, false
39 Snow St #1, 39 Snow St #1, 02135, Brighton, MA, 42.345837, -71.14939, 6000, FOR_RENT, APARTMENT, 2060190298, undefined, 4, 3, # 1, 5, 2, 19080451000, true, false, -1, false
17 Hemenway St #14, 17 Hemenway St #14, 02115, Boston, MA, 42.34628, -71.089516, 3200, FOR_RENT, APARTMENT, 343715243, undefined, 0, 1, # 14, 5, 1, 19785449000, true, false, -1, false
